country,year,item_code,item,element_code,element,unit,value
Honduras,1990,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1991,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1992,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1993,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1994,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1995,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3238361.4827
Honduras,1996,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,1440520.1435
Honduras,1997,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3093359.5753
Honduras,1998,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,4406721.737
Honduras,1999,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,2425584.367
Honduras,2000,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3079683.9561
Honduras,2001,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,366800.7041
Honduras,2002,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,770584.5436
Honduras,2003,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,11423731.3043
Honduras,2004,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,179047.5975
Honduras,2005,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,8317439.7636
Honduras,2006,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,1729480.1121
Honduras,2007,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,1883627.5599
Honduras,2008,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,1976990.7151
Honduras,2009,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3134652.1722
Honduras,2010,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,2212388.5963
Honduras,2011,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,5510017.67
Honduras,2012,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,390659.6823
Honduras,2013,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3286596.7835
Honduras,2014,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,4303730.6799
Honduras,2015,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,2444494.0259
Honduras,2016,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,3610810.7916
Honduras,2017,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,1173157.2508
Honduras,2018,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,2462648.3851
Honduras,2019,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,2202777.7742
Honduras,2020,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,9016545.5173
Honduras,2021,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,760173.2672
Honduras,2022,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,567997.4512
Honduras,2023,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,5546277.1371
Honduras,2024,6992,Forest fires,7245,"Burning crop residues (Biomass burned, dry matter)",t,6195983.7355
Honduras,1990,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1991,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1992,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1993,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1994,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1995,6992,Forest fires,7246,Burned Area,ha,60287.6622
Honduras,1996,6992,Forest fires,7246,Burned Area,ha,26626.9904
Honduras,1997,6992,Forest fires,7246,Burned Area,ha,57178.5521
Honduras,1998,6992,Forest fires,7246,Burned Area,ha,81455.117
Honduras,1999,6992,Forest fires,7246,Burned Area,ha,44835.2024
Honduras,2000,6992,Forest fires,7246,Burned Area,ha,56925.768
Honduras,2001,6992,Forest fires,7246,Burned Area,ha,6908.7797
Honduras,2002,6992,Forest fires,7246,Burned Area,ha,14523.0938
Honduras,2003,6992,Forest fires,7246,Burned Area,ha,213246.9793
Honduras,2004,6992,Forest fires,7246,Burned Area,ha,3315.4184
Honduras,2005,6992,Forest fires,7246,Burned Area,ha,154470.4322
Honduras,2006,6992,Forest fires,7246,Burned Area,ha,32404.1109
Honduras,2007,6992,Forest fires,7246,Burned Area,ha,35142.2658
Honduras,2008,6992,Forest fires,7246,Burned Area,ha,36982.1035
Honduras,2009,6992,Forest fires,7246,Burned Area,ha,58541.5577
Honduras,2010,6992,Forest fires,7246,Burned Area,ha,41131.4048
Honduras,2011,6992,Forest fires,7246,Burned Area,ha,103030.7254
Honduras,2012,6992,Forest fires,7246,Burned Area,ha,7272.2624
Honduras,2013,6992,Forest fires,7246,Burned Area,ha,61171.6711
Honduras,2014,6992,Forest fires,7246,Burned Area,ha,80165.7703
Honduras,2015,6992,Forest fires,7246,Burned Area,ha,45752.3134
